172,event_gq,Archi
161,event_gf,Archi
102,event_dy,Audi
190,event_hi,ELHC
153,event_fx,OAT
112,event_ei,Amphi
173,event_gr,Pits
147,event_fr,Bhaskara
165,event_gj,Bhaskara
150,event_fu,CCC
194,event_hm,Bhaskara
171,event_gp,Archi
158,event_gc,Audi
105,event_eb,Archi
175,event_gt,Bhaskara
151,event_fv,Audi
119,event_ep,Pits
138,event_fi,OAT
180,event_gy,Aryabhatta
164,event_gi,Pits
144,event_fo,Audi
134,event_fe,ELHC
160,event_ge,OAT
195,event_hn,ELHC
163,event_gh,Archi
186,event_he,Pits
142,event_fm,Aryabhatta
166,event_gk,Bhaskara
189,event_hh,Pits
168,event_gm,Bhaskara
193,event_hl,Amphi
191,event_hj,Aryabhatta
127,event_ex,Bhaskara
183,event_hb,Archi
122,event_es,Amphi
169,event_gn,OAT
184,event_hc,OAT
114,event_ek,Amphi
120,event_eq,CCC
181,event_gz,Archi
137,event_fh,Audi
188,event_hg,Aryabhatta
135,event_ff,CCC
124,event_eu,Archi
113,event_ej,Bhaskara
111,event_eh,CCC
145,event_fp,Aryabhatta
143,event_fn,Audi
149,event_ft,Bhaskara
139,event_fj,CCC
118,event_eo,ELHC
116,event_em,OAT
155,event_fz,Archi
109,event_ef,Archi
110,event_eg,CCC
132,event_fc,Amphi
198,event_hq,OAT
148,event_fs,Audi
136,event_fg,ELHC
187,event_hf,ELHC
178,event_gw,Archi
121,event_er,Amphi
128,event_ey,Archi
156,event_ga,Amphi
101,event_dx,Amphi
157,event_gb,Aryabhatta
131,event_fb,ELHC
199,event_hr,CCC
162,event_gg,CCC
123,event_et,OAT
126,event_ew,ELHC
179,event_gx,Amphi
170,event_go,Aryabhatta
185,event_hd,Archi
103,event_dz,Archi
115,event_el,Audi
177,event_gv,Pits
104,event_ea,Amphi
152,event_fw,Pits
154,event_fy,Pits
133,event_fd,OAT
129,event_ez,CCC
192,event_hk,Audi
100,event_dw,Amphi
125,event_ev,Bhaskara
106,event_ec,Archi
176,event_gu,ELHC
146,event_fq,Amphi
174,event_gs,Archi
108,event_ee,Aryabhatta
159,event_gd,Amphi
107,event_ed,Bhaskara
182,event_ha,Audi
196,event_ho,Aryabhatta
167,event_gl,Archi
141,event_fl,Audi
117,event_en,Amphi
197,event_hp,Audi
140,event_fk,Audi
130,event_fa,Aryabhatta